ID	CARD|ARO Accession	CARD|CVTERM ID	CARD|Model Sequence ID	CARD|Model ID	CARD|Model Name	CARD|ARO Name	CARD|Protein Accession	CARD|DNA Accession	CARD|AMR Gene Family	CARD|Drug Class	CARD|Resistance Mechanism	RES|Gene_accession no.	RES|Class	RES|Phenotype	RES|PMID	RES|Mechanism of resistance	RES|Notes	RES|Required_gene
CardRes_00001	ARO:3002999	39433	1188	2	CblA-1	CblA-1	ACT97415.1	GQ343019	CblA beta-lactamase	cephalosporin	antibiotic inactivation							
CardRes_00002	ARO:3001109	37489	1393	4	SHV-52	SHV-52	AEJ08681.1	HQ845196	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-52_1_HQ845196	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00003	ARO:3002867	39301	677	5	dfrF	dfrF	AAD01868.1	AF028812	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement							
CardRes_00004	ARO:3001989	38389	1703	7	CTX-M-130	CTX-M-130	AFJ59957.1	JX017365	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-130_1_JX017365	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00005	ARO:3002356	38756	1103	8	NDM-6	NDM-6	AEX08599.1	JN967644	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	blaNDM-6_1_JN967644	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	23731823	Enzymatic inactivation	Subclass B1	nan
CardRes_00006	ARO:3001855	38255	1584	9	ACT-35	ACT-35	BAP68758.1	LC004922	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation							
CardRes_00007	ARO:3002244	38644	1661	10	CARB-5	CARB-5	AAF61417.1	AF135373	CARB beta-lactamase	penam	antibiotic inactivation	blaCARB-5_1_AF135373	Beta-lactam	"Ampicillin, Amoxicillin, Piperacillin"	2786828	nan	Class A;Alternative name RTG-2	nan
CardRes_00008	ARO:3000600	36739	162	11	Erm(34)	Erm(34)	AAP74657.1	AY234334	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	erm(34)_1_AY234334	"Macrolide, Lincosamide, Streptogramin B"	"Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S"	14711653	Target modification	"23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, patterns of spiramycin, lincomycin and clindamycin resistance may vary"	nan
CardRes_00009	ARO:3000988	37368	1567	12	TEM-126	TEM-126	AAT45742.1	AY628199	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-126_1_AY628199	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	15282240	Enzymatic inactivation	Class A	nan
CardRes_00010	ARO:3002511	38911	1445	13	LRA-12	LRA-12	ACH58990.1	EU408351	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation							
CardRes_00011	ARO:3000938	37318	1651	14	TEM-72	TEM-72	AAF19151.1	AF157553	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-72_1_AF157553	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	10952610	Enzymatic inactivation	Class A	nan
CardRes_00012	ARO:3000928	37308	931	15	TEM-59	TEM-59	AAD45935.1	AF062386	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation							
CardRes_00013	ARO:3002320	38720	1633	16	KPC-10	KPC-10	ACS35345.1	GQ140348	KPC beta-lactamase	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	blaKPC-10_1_GQ140348	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	200386180	Enzymatic inactivation	Class A;Group 2f;	nan
CardRes_00014	ARO:3001711	38111	1048	18	OXA-212	OXA-212	AEV91551.1	JN861780	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-212_1_JN861780	Beta-lactam	Unknown	22128805	Enzymatic inactivation	Class D;OXA-211-like;Natural in Acinetobacter johnsonii;;	nan
