Sample	Up/Down	Total reads in sample	Matching reads
Ecoli_gut_CEF	Upstream	1441	780
Ecoli_gut_DOX	Upstream	1617	1331
Ecoli_soil_GEP	Upstream	925	765
Ecoli_soil_OMA	Upstream	1041	834
Klebsiella_gut_APS	Upstream	1786	1523
Ecoli_patho_CEF	Upstream	1973	1702
Ecoli_soil_DEL	Upstream	1089	614
Ecoli_soil_ERA	Upstream	725	628
Ecoli_soil_CFD	Upstream	982	807
Ecoli_patho_DEL	Upstream	1438	1267
Ecoli_gut_CFD	Upstream	1380	1195
Ecoli_gut_OMA	Upstream	3856	1916
Ecoli_patho_SUL	Upstream	1972	1621
Klebsiella_gut_ERA	Upstream	963	823
Ecoli_soil_DOX	Upstream	1720	1444
Ecoli_patho_GEN	Upstream	2067	1744
Ecoli_patho_CFD	Upstream	1818	1508
Klebsiella_patho_MOX	Upstream	1396	1051
Ecoli_soil_CEF	Upstream	1011	818
Ecoli_soil_MER	Upstream	1240	1032
Salmonella_gut_DEL	Upstream	1898	1597
Ecoli_gut_MER	Upstream	2150	1804
Ecoli_soil_APS	Upstream	2352	1166
Ecoli_patho_PXB	Upstream	1555	1330
Ecoli_patho_FOX	Upstream	1315	1029
Ecoli_patho_OMA	Upstream	1474	1219
Klebsiella_patho_GEN	Upstream	1367	1150
Ecoli_soil_FOX	Upstream	1564	1345
Ecoli_gut_PXB	Upstream	1450	1274
Ecoli_soil_MOX	Upstream	1679	1402
Klebsiella_gut_MOX	Upstream	1370	1048
Ecoli_gut_DEL	Upstream	2095	1765
Ecoli_patho_MOX	Upstream	2979	1592
Klebsiella_patho_OMA	Upstream	1087	893
Klebsiella_soil_GEP	Upstream	2223	1894
Ecoli_patho_DOX	Upstream	2968	1833
Klebsiella_patho_MER	Upstream	2818	2601
Ecoli_patho_MER	Upstream	2434	2121
Klebsiella_gut_DOX	Upstream	2413	2116
Ecoli_gut_ERA	Upstream	2397	2048
Klebsiella_gut_GEN	Upstream	1171	1010
Ecoli_gut_GEP	Upstream	1449	1219
Klebsiella_gut_SUL	Upstream	2543	46
Klebsiella_soil_GEN	Upstream	3129	2700
Klebsiella_gut_CEF	Upstream	4231	2141
Ecoli_gut_MOX	Upstream	1341	1126
Ecoli_soil_PXB	Upstream	3001	1321
Klebsiella_gut_DEL	Upstream	1296	1074
Klebsiella_patho_ERA	Upstream	2144	1296
Klebsiella_patho_CEF	Upstream	1594	1363
Klebsiella_patho_CFD	Upstream	1686	1428
Klebsiella_gut_FOX	Upstream	3721	2679
Ecoli_patho_GEP	Upstream	1544	993
Klebsiella_patho_GEP	Upstream	1604	1211
Salmonella_gut_DOX	Upstream	1452	1161
Ecoli_patho_ERA	Upstream	1687	1379
Klebsiella_soil_OMA	Upstream	1838	1427
Klebsiella_gut_CFD	Upstream	3352	2967
Klebsiella_gut_GEP	Upstream	1104	935
Klebsiella_patho_SUL	Upstream	929	827
Salmonella_gut_ERA	Upstream	2969	1675
Klebsiella_soil_APS	Upstream	1851	1513
Salmonella_gut_CFD	Upstream	1545	1159
Ecoli_soil_SUL	Upstream	3188	1927
Klebsiella_patho_DEL	Upstream	1631	1324
Salmonella_patho_ERA	Upstream	1136	905
Salmonella_patho_CEF	Upstream	3127	2235
Salmonella_gut_APS	Upstream	1313	1128
Klebsiella_soil_SUL	Upstream	2172	1766
Klebsiella_soil_DOX	Upstream	3485	2724
Salmonella_gut_MOX	Upstream	1521	1271
Klebsiella_soil_CFD	Upstream	1625	1292
Klebsiella_patho_DOX	Upstream	3728	3131
Klebsiella_soil_ERA	Upstream	3729	2628
Salmonella_gut_GEN	Upstream	1509	1283
Salmonella_patho_MER	Upstream	1013	821
Klebsiella_gut_OMA	Upstream	2372	2025
Klebsiella_soil_MOX	Upstream	1709	1255
Salmonella_gut_OMA	Upstream	1979	1667
Salmonella_soil_FOX	Upstream	1103	965
Salmonella_patho_SUL	Upstream	1620	1395
Klebsiella_patho_FOX	Upstream	3327	2282
Salmonella_patho_DOX	Upstream	2104	1727
Klebsiella_soil_CEF	Upstream	3603	3224
Salmonella_gut_GEP	Upstream	1779	1532
Klebsiella_soil_DEL	Upstream	2267	2016
Salmonella_patho_FOX	Upstream	1296	949
Salmonella_soil_GEN	Upstream	1737	1508
Salmonella_soil_DOX	Upstream	1737	1464
Klebsiella_soil_MER	Upstream	2532	2074
Salmonella_gut_FOX	Upstream	1052	798
Salmonella_soil_CEF	Upstream	2853	1658
Salmonella_soil_CFD	Upstream	2104	1838
Salmonella_patho_APS	Upstream	1352	962
Salmonella_soil_APS	Upstream	1787	1570
Salmonella_soil_ERA	Upstream	3632	2186
Shigella_patho_DOX	Upstream	1666	1314
Shigella_patho_CFD	Upstream	1742	1467
Salmonella_soil_OMA	Upstream	2764	2356
Salmonella_patho_GEN	Upstream	1353	1155
Salmonella_gut_CEF	Upstream	2732	1628
Salmonella_soil_MOX	Upstream	1569	1364
Salmonella_soil_DEL	Upstream	2054	1779
Shigella_gut_APS	Upstream	1324	1120
Shigella_gut_CFD	Upstream	4525	2750
Salmonella_patho_DEL	Upstream	1836	1434
Shigella_patho_GEN	Upstream	1630	1189
Shigella_patho_SUL	Upstream	1353	1122
Salmonella_patho_MOX	Upstream	1087	912
Salmonella_patho_CFD	Upstream	2078	1835
Shigella_gut_ERA	Upstream	1292	1152
Shigella_patho_GEP	Upstream	1886	1547
Shigella_patho_ERA	Upstream	3419	2042
Shigella_gut_MER	Upstream	2155	1551
Klebsiella_soil_FOX	Upstream	4623	2431
Shigella_patho_MOX	Upstream	3344	2430
Salmonella_patho_OMA	Upstream	2636	1371
Shigella_patho_FOX	Upstream	2174	1824
Salmonella_patho_GEP	Upstream	1952	1634
Shigella_patho_DEL	Upstream	1888	1685
Shigella_patho_CEF	Upstream	2409	2046
Shigella_soil_MER	Upstream	2703	1869
Shigella_patho_OMA	Upstream	1658	1422
Shigella_soil_ERA	Upstream	3799	1973
Shigella_patho_MER	Upstream	1319	1161
