Card.Res.Gene.Annotations	Universal.Gene.Name	Gene.AMR.Family	Gene.Further.Classification	Gene.Mechanism	mechanism	classification
AAC(2')-Ib	AAC(2')-Ib	AAC(2')	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(2')
aac(3)-I_1_AJ877225	AAC(3)-I	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	Enzymatic modification	nan
aac(3)-Ia_1_X15852	AAC(3)-Ia	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	Enzymatic modification	nan
AAC(3)-Ib/AAC(6')-Ib''	AAC(3)-Ib/AAC(6')-Ib''	"AAC(3);AAC(6')"	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	"AAC(3);AAC(6')"
AAC(3)-Ic	AAC(3)-Ic	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(3)
aac(3)-Ih_1_CP000490	AAC(3)-Ih	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	Enzymatic modification	nan
AAC(3)-IIIa	AAC(3)-IIIa	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(3)
AAC(3)-IVb	AAC(3)-IVb	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(3)
AAC(3)-IXa	AAC(3)-IXa	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(3)
AAC(3)-VIIa	AAC(3)-VIIa	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(3)
aac(3)-XI_1_CTEG01000046	AAC(3)-XI	AAC(3)	Aminoglycoside acetyltransferase	antibiotic inactivation	Enzymatic modification	Chromosomal in Corynebacterium striatum
AAC(6')-30/AAC(6')-Ib' fusion protein	AAC(6')-30/AAC(6')-Ib'	AAC(6')	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(6')
AAC(6')-33	AAC(6')-33	AAC(6')	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(6')
AAC(6')-I30	AAC(6')-I30	AAC(6')	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(6')
AAC(6')-Iaf	AAC(6')-Iaf	AAC(6')	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(6')
AAC(6')-Iai	AAC(6')-Iai	AAC(6')	Aminoglycoside acetyltransferase	antibiotic inactivation	antibiotic inactivation	AAC(6')
