"Card.Res.Gene.Annotations"	"mechanism"	"classification"
"AAC(2')-Ib"	"antibiotic inactivation"	"AAC(2')"
"aac(3)-I_1_AJ877225"	"Enzymatic modification"	"nan"
"aac(3)-Ia_1_X15852"	"Enzymatic modification"	"nan"
"AAC(3)-Ib/AAC(6')-Ib''"	"antibiotic inactivation"	"AAC(3);AAC(6')"
"AAC(3)-Ic"	"antibiotic inactivation"	"AAC(3)"
"aac(3)-Ih_1_CP000490"	"Enzymatic modification"	"nan"
"AAC(3)-IIIa"	"antibiotic inactivation"	"AAC(3)"
"AAC(3)-IVb"	"antibiotic inactivation"	"AAC(3)"
"AAC(3)-IXa"	"antibiotic inactivation"	"AAC(3)"
"AAC(3)-VIIa"	"antibiotic inactivation"	"AAC(3)"
"aac(3)-XI_1_CTEG01000046"	"Enzymatic modification"	"Chromosomal in Corynebacterium striatum"
"AAC(6')-30/AAC(6')-Ib' fusion protein"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-33"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-I30"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-Iaf"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-Iai"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-Iak"	"antibiotic inactivation"	"AAC(6')"
"aac(6')-Ib_1_M21682"	"Enzymatic modification"	"Alternative name aacA4, aac(6')-4"
"AAC(6')-Ib8"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-Iih"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-Ik"	"antibiotic inactivation"	"AAC(6')"
"AAC(6')-Iz"	"antibiotic inactivation"	"AAC(6')"
"aadA"	"antibiotic inactivation"	"ANT(3'')"
"aadA13"	"antibiotic inactivation"	"ANT(3'')"
"aadA14"	"antibiotic inactivation"	"ANT(3'')"
"aadA16"	"antibiotic inactivation"	"ANT(3'')"
"aadS"	"antibiotic inactivation"	"ANT(6)"
"abeM"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"Acinetobacter baumannii AmvA"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"acrB"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"ADC-14"	"antibiotic inactivation"	"ADC beta-lactamase without carbapenemase activity"
