Antibiotic,Host,Resistome,Clone,Type,Class
CFD,Escherichia coli BW25118,Gut,106,old,Cephalosporin
MOX,Escherichia coli BW25118,Gut,13,old,Fluoroquinolone
DOX,Escherichia coli BW25118,Gut,88,old,Tetracycline
FOX,Escherichia coli BW25118,Gut,NA,old,Cephalosporin
MER,Escherichia coli BW25118,Gut,88,old,Carbapenem
SUL,Escherichia coli BW25118,Gut,NA,new,Carbapenem
GEN,Escherichia coli BW25118,Gut,NA,old,Aminoglycoside
ERA,Escherichia coli BW25118,Gut,95,new,Tetracycline
CEF,Escherichia coli BW25118,Gut,141,new,Cephalosporin
DEL,Escherichia coli BW25118,Gut,57,new,Fluoroquinolone
GEP,Escherichia coli BW25118,Gut,30,new,Fluoroquinolone
APS,Escherichia coli BW25118,Gut,NA,new,Aminoglycoside
OMA,Escherichia coli BW25118,Gut,42,new,Tetracycline
CFD,Escherichia coli BW25118,Soil,42,old,Cephalosporin
MOX,Escherichia coli BW25118,Soil,33,old,Fluoroquinolone
DOX,Escherichia coli BW25118,Soil,65,old,Tetracycline
FOX,Escherichia coli BW25118,Soil,24,old,Cephalosporin
MER,Escherichia coli BW25118,Soil,118,old,Carbapenem
SUL,Escherichia coli BW25118,Soil,45,new,Carbapenem
GEN,Escherichia coli BW25118,Soil,NA,old,Aminoglycoside
ERA,Escherichia coli BW25118,Soil,392,new,Tetracycline
CEF,Escherichia coli BW25118,Soil,426,new,Cephalosporin
DEL,Escherichia coli BW25118,Soil,33,new,Fluoroquinolone
GEP,Escherichia coli BW25118,Soil,296,new,Fluoroquinolone
APS,Escherichia coli BW25118,Soil,247,new,Aminoglycoside
OMA,Escherichia coli BW25118,Soil,56,new,Tetracycline
CFD,Escherichia coli BW25118,Pathogen,6841,old,Cephalosporin
MOX,Escherichia coli BW25118,Pathogen,107,old,Fluoroquinolone
DOX,Escherichia coli BW25118,Pathogen,820,old,Tetracycline
FOX,Escherichia coli BW25118,Pathogen,381,old,Cephalosporin
MER,Escherichia coli BW25118,Pathogen,603,old,Carbapenem
SUL,Escherichia coli BW25118,Pathogen,224,new,Carbapenem
GEN,Escherichia coli BW25118,Pathogen,1527,old,Aminoglycoside
ERA,Escherichia coli BW25118,Pathogen,433,new,Tetracycline
CEF,Escherichia coli BW25118,Pathogen,663,new,Cephalosporin
DEL,Escherichia coli BW25118,Pathogen,201,new,Fluoroquinolone
GEP,Escherichia coli BW25118,Pathogen,546,new,Fluoroquinolone
APS,Escherichia coli BW25118,Pathogen,NA,new,Aminoglycoside
OMA,Escherichia coli BW25118,Pathogen,514,new,Tetracycline
CFD,Shigella sonnei HNCMB 25021,Gut,62,old,Cephalosporin
MOX,Shigella sonnei HNCMB 25021,Gut,NA,old,Fluoroquinolone
DOX,Shigella sonnei HNCMB 25021,Gut,6,old,Tetracycline
FOX,Shigella sonnei HNCMB 25021,Gut,NA,old,Cephalosporin
MER,Shigella sonnei HNCMB 25021,Gut,14,old,Carbapenem
SUL,Shigella sonnei HNCMB 25021,Gut,19,new,Carbapenem
GEN,Shigella sonnei HNCMB 25021,Gut,NA,old,Aminoglycoside
ERA,Shigella sonnei HNCMB 25021,Gut,4,new,Tetracycline
CEF,Shigella sonnei HNCMB 25021,Gut,4040,new,Cephalosporin
DEL,Shigella sonnei HNCMB 25021,Gut,7100,new,Fluoroquinolone
GEP,Shigella sonnei HNCMB 25021,Gut,NA,new,Fluoroquinolone
APS,Shigella sonnei HNCMB 25021,Gut,215,new,Aminoglycoside
OMA,Shigella sonnei HNCMB 25021,Gut,NA,new,Tetracycline
CFD,Shigella sonnei HNCMB 25021,Soil,58,old,Cephalosporin
MOX,Shigella sonnei HNCMB 25021,Soil,NA,old,Fluoroquinolone
DOX,Shigella sonnei HNCMB 25021,Soil,NA,old,Tetracycline
FOX,Shigella sonnei HNCMB 25021,Soil,13,old,Cephalosporin
MER,Shigella sonnei HNCMB 25021,Soil,5,old,Carbapenem
SUL,Shigella sonnei HNCMB 25021,Soil,33,new,Carbapenem
GEN,Shigella sonnei HNCMB 25021,Soil,1,old,Aminoglycoside
ERA,Shigella sonnei HNCMB 25021,Soil,132,new,Tetracycline
CEF,Shigella sonnei HNCMB 25021,Soil,801,new,Cephalosporin
DEL,Shigella sonnei HNCMB 25021,Soil,1496,new,Fluoroquinolone
GEP,Shigella sonnei HNCMB 25021,Soil,4144,new,Fluoroquinolone
APS,Shigella sonnei HNCMB 25021,Soil,3500,new,Aminoglycoside
OMA,Shigella sonnei HNCMB 25021,Soil,350,new,Tetracycline
CFD,Shigella sonnei HNCMB 25021,Pathogen,192,old,Cephalosporin
MOX,Shigella sonnei HNCMB 25021,Pathogen,11,old,Fluoroquinolone
DOX,Shigella sonnei HNCMB 25021,Pathogen,399,old,Tetracycline
FOX,Shigella sonnei HNCMB 25021,Pathogen,67,old,Cephalosporin
