UID_NUCCORE	ACC_NUCCORE	Description_NUCCORE	CreateDate_NUCCORE	Topology_NUCCORE	Completeness_NUCCORE	TaxonID_NUCCORE	Genome_NUCCORE	Length_NUCCORE	Source_NUCCORE	UID_ASSEMBLY	Status_ASSEMBLY	SeqReleaseDate_ASSEMBLY	SubmissionDate_ASSEMBLY	Latest_ASSEMBLY	UID_BIOSAMPLE	ACC_BIOSAMPLE	Location_BIOSAMPLE	Coordinates_BIOSAMPLE	IsolationSource_BIOSAMPLE	Host_BIOSAMPLE	SamplType_BIOSAMPLE	taxon_name	taxon_rank	lineage	taxon_species_id	taxon_species_name	taxon_genus_id	taxon_genus_name	taxon_family_id	taxon_family_name	taxon_order_id	taxon_order_name	taxon_class_id	taxon_class_name	taxon_phylum_id	taxon_phylum_name	taxon_superkingdom_id	taxon_superkingdom_name	loc_lat	loc_lng	loc_parsed	GC_NUCCORE	Identical	OldVersion	hits_rMLST	hitscount_rMLST	D1	D2	plasmidfinder	pmlst
1933267502	CP063228.1	Enterobacter hormaechei subsp. steigerwaltii strain BD-50-Eh plasmid pBD-50-Eh_4, complete sequence	2020/11/17	circular	complete	299766	plasmid	2493	INSDC	8569701	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16233514	SAMN16233514	Switzerland	46.9321 N 7.4199 E	Rectal swab	Homo sapiens		Enterobacter hormaechei subsp. steigerwaltii	subspecies	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex; Enterobacter hormaechei	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	46.9321	7.4199		51.5042117930205				0	-1.2108314	-6.672572	Col(pHAD28)_1, KU674895, 	
1933267426	CP063227.1	Enterobacter hormaechei subsp. steigerwaltii strain BD-50-Eh plasmid pBD-50-Eh_VIM-1, complete sequence	2020/11/17	circular	complete	299766	plasmid	65061	INSDC	8569701	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16233514	SAMN16233514	Switzerland	46.9321 N 7.4199 E	Rectal swab	Homo sapiens		Enterobacter hormaechei subsp. steigerwaltii	subspecies	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex; Enterobacter hormaechei	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	46.9321	7.4199		52.1910207343877				0	3.289228	6.3334794	IncN2_1, JF785549, 	IncN MLST(-):repN(-);traJ(-);korA(-);(-);(-);(-);(-)
1933267347	CP063226.1	Enterobacter hormaechei subsp. steigerwaltii strain BD-50-Eh plasmid pBD-50-Eh_3, complete sequence	2020/11/17	circular	complete	299766	plasmid	88821	INSDC	8569701	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16233514	SAMN16233514	Switzerland	46.9321 N 7.4199 E	Rectal swab	Homo sapiens		Enterobacter hormaechei subsp. steigerwaltii	subspecies	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex; Enterobacter hormaechei	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	46.9321	7.4199		53.3038358045958				0	4.755622	6.080962	IncFIA(HI1)_1, AF250878, |pKP1433_1, JX397875, 	IncF RST(F-:A13:B-):FIA(13);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)
1933267010	CP063225.1	Enterobacter hormaechei subsp. steigerwaltii strain BD-50-Eh plasmid pBD-50-Eh_2, complete sequence	2020/11/17	circular	complete	299766	plasmid	336282	INSDC	8569701	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16233514	SAMN16233514	Switzerland	46.9321 N 7.4199 E	Rectal swab	Homo sapiens		Enterobacter hormaechei subsp. steigerwaltii	subspecies	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex; Enterobacter hormaechei	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	46.9321	7.4199		47.8208765262488				0	-2.4012802	11.991009	IncHI2A_1, BX664015, |IncHI2_1, BX664015, 	IncHI2 DLST(1):smr0018(1);smr0199(1)
1933262435	CP064660.1	Enterobacter hormaechei strain 3804 plasmid p3804_NDM, complete sequence	2020/11/17	circular	complete	158836	plasmid	47497	INSDC	8569681	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16707732	SAMN16707732	China: Hangzhou	Missing	blood	Homo sapiens		Enterobacter hormaechei	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	30.2489634	120.2052342	China,Hangzhou	47.0703412847127				0	-17.45585	2.5624754	IncX3_1, JN247852, 	
1933262349	CP064659.1	Enterobacter hormaechei strain 3804 plasmid p3804_4, complete sequence	2020/11/17	circular	complete	158836	plasmid	90483	INSDC	8569681	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16707732	SAMN16707732	China: Hangzhou	Missing	blood	Homo sapiens		Enterobacter hormaechei	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	30.2489634	120.2052342	China,Hangzhou	51.3245582043036				0	4.913026	7.102637	IncFII(pECLA)_1, CP001919, |IncFIB(pECLA)_1, CP001919, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)
1933262235	CP064658.1	Enterobacter hormaechei strain 3804 plasmid p3804_3, complete sequence	2020/11/17	circular	complete	158836	plasmid	106771	INSDC	8569681	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16707732	SAMN16707732	China: Hangzhou	Missing	blood	Homo sapiens		Enterobacter hormaechei	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	30.2489634	120.2052342	China,Hangzhou	51.0175984115537				0	14.154239	-3.8808944	IncFIB(pHCM2)_1, AL513384, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)
1933261969	CP064657.1	Enterobacter hormaechei strain 3804 plasmid p3804_mcr, complete sequence	2020/11/17	circular	complete	158836	plasmid	267745	INSDC	8569681	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	16707732	SAMN16707732	China: Hangzhou	Missing	blood	Homo sapiens		Enterobacter hormaechei	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	158836	Enterobacter hormaechei	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	30.2489634	120.2052342	China,Hangzhou	46.0770509253207				0	-2.3855934	12.009028	IncHI2A_1, BX664015, |IncHI2_1, BX664015, 	IncHI2 DLST(-):smr0018(~1);smr0199(1)
1933228182	CP064676.1	Salmonella sp. SJTUF14076 plasmid p14076B, complete sequence	2020/11/17	circular	complete	2745890	plasmid	103445	INSDC	8569601	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	15296093	SAMN15296093	China:Shandong	37 N 117 E	Chicken faeces			Salmonella sp. SJTUF14076	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; unclassified Salmonella	2745890	Salmonella sp. SJTUF14076	590	Salmonella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	37	117		48.5929721107835				0	-3.9464223	-0.8708247	p0111_1, AP010962, 	
1933227961	CP064675.1	Salmonella sp. SJTUF14076 plasmid p14076A, complete sequence	2020/11/17	circular	complete	2745890	plasmid	227512	INSDC	8569601	Complete Genome	2020/11/17 00:00	2020/11/17 00:00	True	15296093	SAMN15296093	China:Shandong	37 N 117 E	Chicken faeces			Salmonella sp. SJTUF14076	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; unclassified Salmonella	2745890	Salmonella sp. SJTUF14076	590	Salmonella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	37	117		45.3523330637505				0	-3.3094857	14.718623	IncHI2_1, BX664015, |IncHI2A_1, BX664015, 	IncHI2 DLST(3):smr0018(3);smr0199(2)
